epoch,train_loss,train_acc,train_f1,train_auroc,train_auprc,train_precision,train_recall,val_loss,val_acc,val_f1,val_auroc,val_auprc,val_precision,val_recall
1,0.602411032,0.686054831,0.6948443,0.745892773,0.727919259,0.677001463,0.713653115,0.716562271,0.501425,0,0.685492165,0.665957962,0,0
2,0.539911151,0.733723958,0.741791138,0.803102139,0.786058257,0.721211958,0.763579233,0.640327156,0.618575,0.464046088,0.745990812,0.722337589,0.774870953,0.331193903
3,0.512745559,0.749291724,0.755768976,0.825757948,0.816650436,0.737917988,0.774505042,0.571627736,0.716025,0.698195924,0.786682067,0.766038178,0.742568102,0.658827659
4,0.488754213,0.764587626,0.76888174,0.844111182,0.840083712,0.756255613,0.781936627,0.5401842,0.73405,0.732834397,0.807792311,0.793094191,0.73408805,0.731585017
5,0.46495226,0.777300824,0.77955611,0.860540361,0.859807569,0.772867695,0.786361298,0.516315222,0.745325,0.747164379,0.825625681,0.816473889,0.73972872,0.75475104
6,0.444802463,0.788983803,0.790430649,0.873481215,0.874462999,0.786402002,0.794500786,0.495021284,0.755175,0.759048299,0.840897278,0.836185369,0.745169082,0.773454345
7,0.429733396,0.797332875,0.797804457,0.882765386,0.884561349,0.797394667,0.798214668,0.475452185,0.766075,0.771295187,0.854587169,0.852893259,0.752408202,0.791154791
8,0.417443722,0.803821829,0.803722129,0.889885323,0.892287631,0.805469075,0.801982744,0.457369536,0.7776,0.783267553,0.866899909,0.867054377,0.761740037,0.806047235
9,0.40406841,0.811405391,0.811314947,0.897523155,0.899983826,0.812903411,0.80973268,0.441177011,0.78865,0.794316578,0.877461445,0.878656078,0.771492036,0.818532819
10,0.392016262,0.818745707,0.818307647,0.90412457,0.906570834,0.821554058,0.815086792,0.427011043,0.797575,0.802642162,0.886200491,0.887780056,0.780923923,0.825602968
11,0.380838662,0.824690934,0.824487516,0.909916474,0.9126542,0.826820859,0.822167305,0.414856821,0.8055,0.809779951,0.893109422,0.894789552,0.790189436,0.830366545
12,0.371235073,0.830786401,0.830147217,0.914763774,0.917728103,0.834702867,0.825641026,0.404434144,0.8121,0.815349843,0.898589506,0.900250365,0.799287125,0.832071403
13,0.361720473,0.835615556,0.835440137,0.919515479,0.922231281,0.837750104,0.833142873,0.396005481,0.817075,0.819658394,0.902814638,0.904382717,0.806010664,0.833776262
14,0.349448591,0.842984489,0.842492052,0.925301442,0.92807857,0.846519946,0.838502307,0.389082015,0.82125,0.823124876,0.90606857,0.907558555,0.812313852,0.834227549
15,0.337987065,0.849423363,0.848886049,0.930566992,0.933204396,0.853389537,0.844429843,0.383641958,0.8247,0.825875341,0.908539757,0.909941176,0.818074482,0.833826405
16,0.32566762,0.857157166,0.856471231,0.935957401,0.938467491,0.862123361,0.85089273,0.379633009,0.825975,0.826655378,0.910330544,0.911635309,0.821114079,0.832271975
17,0.313206673,0.862980769,0.86259542,0.941133735,0.943541644,0.866324648,0.85889816,0.376820654,0.82795,0.828241989,0.911615822,0.912804128,0.824496894,0.832021261
18,0.300223321,0.870278159,0.869670222,0.946352611,0.948519041,0.875206157,0.86420388,0.375183761,0.82855,0.828335419,0.912457876,0.913520213,0.827010546,0.829664544
19,0.286707878,0.878011962,0.877416479,0.951472741,0.953535927,0.883277606,0.871632624,0.374696374,0.829725,0.829054037,0.912937243,0.913867424,0.829949749,0.828160257
20,0.27295056,0.885938931,0.885517123,0.956382736,0.958184836,0.890164147,0.880918364,0.375430405,0.829175,0.828519086,0.913042851,0.913859626,0.829330788,0.827708971
21,0.258505762,0.893214858,0.892893022,0.961280734,0.962792565,0.897025535,0.888798411,0.377090931,0.8295,0.828729282,0.912952975,0.913556823,0.830105147,0.82735797
22,0.244708836,0.900218922,0.899848484,0.965793509,0.967200574,0.904779783,0.894970647,0.37985453,0.829625,0.828730115,0.912554447,0.91291739,0.830713422,0.826756255
23,0.231653273,0.908009959,0.90775919,0.969698773,0.970874043,0.911643924,0.903907422,0.383222669,0.829025,0.828118324,0.912085623,0.912160626,0.830142094,0.826104398
24,0.218291104,0.915200034,0.914929197,0.973431501,0.974347957,0.919502589,0.910401074,0.387468517,0.828725,0.827686813,0.911382668,0.911073358,0.83033912,0.825051396
25,0.20673345,0.921488668,0.921238481,0.97641143,0.977294283,0.925729864,0.916790469,0.392292798,0.827725,0.826698187,0.910582544,0.909768942,0.82926337,0.824148824
26,0.196837246,0.926768544,0.926655202,0.978863338,0.979591172,0.929679525,0.923650492,0.397373408,0.826825,0.825792822,0.909742794,0.90840425,0.828355197,0.823246252
27,0.185951188,0.932849702,0.932760226,0.981268212,0.982009448,0.935588641,0.929948862,0.402915746,0.826225,0.825136475,0.908798617,0.906885611,0.827948304,0.822343679
28,0.177911252,0.936548478,0.936424306,0.983135683,0.983720841,0.939718302,0.933153323,0.408348531,0.82555,0.824382141,0.907813254,0.905322035,0.827547875,0.821240536
29,0.171326101,0.939803686,0.939723476,0.984474349,0.985004742,0.942437566,0.937024973,0.413453758,0.824525,0.823408056,0.906883916,0.903866261,0.826297718,0.820538535
30,0.165078893,0.943960337,0.943935869,0.985544909,0.986062686,0.94604172,0.941839373,0.418648541,0.8241,0.822922434,0.905922056,0.902288224,0.826082563,0.819786391
