epoch,train_loss,train_acc,train_f1,train_auroc,train_auprc,train_precision,train_recall,val_loss,val_acc,val_f1,val_auroc,val_auprc,val_precision,val_recall
1,0.591685772,0.692908654,0.700882218,0.75103441,0.725376672,0.684241319,0.718352713,0.669847965,0.600975,0.686910296,0.681945124,0.660269668,0.564151308,0.877952164
2,0.538525045,0.734811413,0.7423738,0.804256885,0.786979587,0.722874932,0.762953756,0.621635854,0.657325,0.714859271,0.752305396,0.733763869,0.610850398,0.861555433
3,0.501862049,0.756331559,0.762186053,0.834019083,0.824488681,0.745512908,0.779622038,0.580725729,0.706875,0.742979899,0.787954865,0.768204435,0.660032715,0.84977185
4,0.47290504,0.772643372,0.776256222,0.854896117,0.850879996,0.765227651,0.787607332,0.543211162,0.732575,0.755200586,0.812691429,0.796828766,0.694619853,0.82735797
5,0.452399552,0.783839858,0.786476516,0.868483952,0.867087582,0.77835751,0.794766686,0.51251477,0.7491,0.766060606,0.833586453,0.823718449,0.715772967,0.823948253
6,0.440339833,0.790622138,0.792642662,0.876108177,0.87531492,0.786446397,0.79893734,0.487394094,0.762875,0.776565923,0.850823768,0.845925088,0.732317398,0.826505541
7,0.426569164,0.798992674,0.800204801,0.884532504,0.88468022,0.796726094,0.80371402,0.466093004,0.774325,0.785045839,0.864332761,0.862362834,0.747505895,0.826555684
8,0.413382322,0.805875114,0.806279807,0.892163879,0.893618018,0.805888565,0.806671429,0.448675931,0.786,0.794299995,0.875008595,0.874706249,0.762632089,0.828711829
9,0.401315272,0.813744849,0.813792807,0.89902389,0.900833916,0.814923577,0.812665171,0.434530526,0.79475,0.801191399,0.883069785,0.883563414,0.774738913,0.829514115
10,0.393194079,0.817829957,0.817632945,0.903292696,0.905376698,0.819787732,0.815489457,0.423062652,0.80145,0.806084579,0.889272696,0.890168253,0.785561319,0.827708971
11,0.383857608,0.822437328,0.822275849,0.908254866,0.910401561,0.824335966,0.820226003,0.413582265,0.80705,0.810191333,0.894057699,0.895220613,0.795019065,0.825953969
12,0.372699469,0.827631353,0.827227158,0.913828127,0.916446555,0.830568516,0.823912578,0.40590319,0.812825,0.814875257,0.897739069,0.899087074,0.803804878,0.826254826
13,0.363678217,0.833798363,0.833606704,0.918341893,0.921160179,0.835875779,0.831349915,0.399600208,0.81645,0.817906746,0.900671461,0.902089261,0.809196643,0.826806398
14,0.35433048,0.839543269,0.839004221,0.922788041,0.925406758,0.843095389,0.834952566,0.394509554,0.81935,0.82026664,0.902986715,0.904491726,0.813829525,0.826806398
15,0.343803614,0.844107715,0.843572772,0.927613973,0.930381802,0.847882243,0.839306887,0.390512019,0.821075,0.821792286,0.904759824,0.906339925,0.816203383,0.827458256
16,0.332247466,0.850467891,0.850026908,0.932779044,0.935352313,0.853794595,0.846292327,0.387470722,0.82215,0.822690793,0.906116947,0.907763345,0.817879974,0.827558542
17,0.322422594,0.855826465,0.855400247,0.936965649,0.939411693,0.859470527,0.851368337,0.385487258,0.8244,0.824733007,0.90704802,0.908725485,0.820841405,0.828661686
18,0.311329335,0.861185039,0.860679692,0.941526864,0.943919349,0.865158645,0.856246875,0.384357393,0.825025,0.825073105,0.907645737,0.909356317,0.822503488,0.827658828
19,0.299559563,0.867309123,0.86705136,0.946218681,0.948561614,0.87021396,0.863911665,0.384309918,0.82515,0.825045027,0.907864264,0.909604762,0.823191734,0.826906684
20,0.288974881,0.872853709,0.872386259,0.950272713,0.952299038,0.876995929,0.867824795,0.385318071,0.824625,0.824488979,0.907752503,0.909489178,0.822780385,0.826204683
21,0.277788788,0.879306891,0.879005652,0.954379862,0.956299606,0.88267746,0.875364265,0.387307197,0.824625,0.824453842,0.907367948,0.909034372,0.822909382,0.826004112
22,0.267916769,0.883692479,0.883551684,0.957814505,0.959521077,0.885969575,0.881146955,0.390162051,0.823925,0.823682564,0.906786245,0.90833802,0.822467753,0.824900968
23,0.257614315,0.889101133,0.888952568,0.96130637,0.962846434,0.891667385,0.886254232,0.393685669,0.823275,0.823058246,0.906063645,0.907448211,0.821721311,0.824399539
