epoch,train_loss,train_acc,train_f1,train_auroc,train_auprc,train_precision,train_recall,val_loss,val_acc,val_f1,val_auroc,val_auprc,val_precision,val_recall
1,0.573784351,0.709613954,0.715609958,0.774810853,0.759803454,0.702338055,0.729393113,0.668660223,0.57455,0.320909816,0.707775361,0.689345239,0.785811999,0.20162463
2,0.45554319,0.783060039,0.786981292,0.86702495,0.863247642,0.774366135,0.800014283,0.580668926,0.713375,0.708854973,0.771559169,0.750564627,0.718100432,0.699844557
3,0.407655388,0.809781364,0.81115136,0.895830429,0.897544185,0.806693603,0.815658658,0.532629907,0.740325,0.750833593,0.814414953,0.797496207,0.719738779,0.784736499
4,0.388646841,0.821850675,0.822400844,0.906157282,0.908586541,0.821200165,0.82360504,0.482376963,0.7671,0.776455344,0.853800415,0.845697688,0.744512448,0.811262097
5,0.37564531,0.828804659,0.828974735,0.912837967,0.915522957,0.829537977,0.828412256,0.438781947,0.79455,0.799785606,0.88239587,0.880423943,0.777804104,0.82304568
6,0.367208958,0.833476419,0.833562153,0.91690051,0.919652477,0.834636424,0.832490645,0.408623695,0.812025,0.814880469,0.898932432,0.899482178,0.800474025,0.829814973
7,0.357357055,0.839636275,0.839561667,0.921695025,0.924121941,0.841253676,0.83787645,0.389793277,0.82205,0.823846763,0.907729043,0.909354715,0.813339849,0.834628692
8,0.350735098,0.842240442,0.841938513,0.924803437,0.927333544,0.844960794,0.838937775,0.378314435,0.827625,0.829107493,0.91258976,0.914604378,0.819741227,0.838690267
9,0.341457963,0.847892342,0.847703846,0.928969216,0.931636131,0.850219125,0.845203405,0.37052536,0.83185,0.832852883,0.915698683,0.917890015,0.825589989,0.840244697
10,0.334943622,0.852471097,0.852118787,0.931880506,0.934192716,0.855610121,0.84865583,0.365463555,0.834725,0.835362968,0.917713564,0.91992647,0.829804077,0.840996841
11,0.326294839,0.856921074,0.856408452,0.935589043,0.937861059,0.86079037,0.852070921,0.361940831,0.8361,0.836492418,0.919142351,0.92129175,0.832134174,0.840896555
12,0.318143576,0.86117073,0.860777294,0.938961943,0.941082415,0.864716821,0.8568735,0.359552294,0.83745,0.83769346,0.920130661,0.922194933,0.834070686,0.841347841
13,0.308526039,0.866679544,0.866178826,0.942859021,0.94495587,0.870913239,0.861495607,0.358006626,0.8383,0.838291915,0.920823747,0.92278808,0.835951134,0.840645841
14,0.2986283,0.871737637,0.871221699,0.94671553,0.948705888,0.876244419,0.866256232,0.357172817,0.838425,0.838469421,0.921286968,0.923132906,0.835858083,0.841097127
15,0.288336337,0.877639938,0.877053246,0.950459823,0.95227824,0.882783671,0.871396737,0.357072353,0.838925,0.83898538,0.921546758,0.92331265,0.836289358,0.841698842
16,0.278603315,0.884128892,0.883602599,0.953989072,0.955533107,0.889097799,0.878174909,0.35782665,0.83845,0.838385354,0.921557938,0.923186591,0.836335512,0.840445269
17,0.268078119,0.889551854,0.889085266,0.957586057,0.959079734,0.894328332,0.883903317,0.359286994,0.838275,0.838206238,0.921420349,0.922918225,0.836177645,0.840244697
18,0.25697872,0.895768945,0.895293264,0.961245834,0.962551961,0.900959021,0.88969832,0.361347586,0.838075,0.837843928,0.921137889,0.92250431,0.83665,0.839041268
