epoch,train_loss,train_acc,train_f1,train_auroc,train_auprc,train_precision,train_recall,val_loss,val_acc,val_f1,val_auroc,val_auprc,val_precision,val_recall
1,0.608877063,0.685582647,0.694966545,0.738483615,0.716072912,0.675965057,0.715067202,0.674695015,0.567025,0.309972509,0.689865326,0.671255181,0.754460822,0.195055909
2,0.565318167,0.722277072,0.73147719,0.779417906,0.759960297,0.709228706,0.75516675,0.622381806,0.674625,0.70945418,0.741728477,0.718653602,0.63938516,0.796770797
3,0.547764003,0.731413118,0.738010831,0.79676867,0.784711928,0.721476327,0.755320972,0.597265124,0.692625,0.731696672,0.770943007,0.750148626,0.647747469,0.840645841
4,0.535878301,0.737608745,0.742222972,0.80731809,0.801038063,0.730546793,0.754278449,0.573170185,0.71565,0.742389926,0.787008092,0.771511416,0.676979636,0.821792108
5,0.527319193,0.742967319,0.746805737,0.814490224,0.811112225,0.737014884,0.756860224,0.555312753,0.725775,0.747659251,0.79958017,0.790221439,0.690725155,0.814822243
6,0.518639505,0.746115213,0.748819728,0.821556877,0.819791852,0.74223694,0.755520325,0.542962134,0.7317,0.750523037,0.808564238,0.803789972,0.699588299,0.809456952
7,0.512701154,0.749928457,0.752078191,0.826273141,0.826049571,0.746802457,0.757428996,0.533567786,0.737175,0.753117441,0.814890309,0.812799546,0.708259717,0.804041518
8,0.506123006,0.753076351,0.754334766,0.83130461,0.832382924,0.751744978,0.75694246,0.527024508,0.740375,0.754914686,0.819550999,0.8190943,0.713062862,0.801985659
9,0.498995394,0.757469093,0.75817497,0.836526392,0.838978767,0.757267442,0.759084676,0.521150827,0.743475,0.756369162,0.823380583,0.824053234,0.718318752,0.798676227
10,0.492864639,0.761339572,0.761774179,0.84106604,0.844025383,0.761670832,0.761877553,0.516130626,0.7455,0.757086952,0.826597452,0.827967486,0.722239927,0.795467081
11,0.485254854,0.765646463,0.766009729,0.846664295,0.850045378,0.765971429,0.766048033,0.511564255,0.748,0.758412425,0.829324156,0.831062273,0.726412929,0.793361079
12,0.479713351,0.769302312,0.769190025,0.850585887,0.854549963,0.770889527,0.767498,0.507407725,0.75015,0.759389445,0.831713098,0.833628728,0.730375585,0.790803791
13,0.471310914,0.775369162,0.774853717,0.856511917,0.86090299,0.777944162,0.771787729,0.503967345,0.752475,0.760156004,0.833683832,0.835757729,0.735307901,0.786742215
14,0.461927116,0.780699119,0.780408479,0.863074616,0.867374,0.782780524,0.778050766,0.501236975,0.75425,0.760675853,0.835236132,0.837341821,0.739292982,0.783332498
15,0.451682955,0.788332761,0.787639966,0.869895477,0.874706777,0.791571688,0.783747107,0.499140084,0.75585,0.761012138,0.836470724,0.83852854,0.743224511,0.779672065
16,0.441161156,0.794020433,0.793407051,0.876830994,0.881348428,0.797084733,0.78976315,0.497893512,0.75725,0.761284295,0.837265336,0.839270227,0.746780495,0.776362634
17,0.428839624,0.802355197,0.801426086,0.884431151,0.889364255,0.806539352,0.796377246,0.497357458,0.757525,0.760595364,0.83774668,0.839646956,0.749003403,0.772551773
18,0.415680438,0.810346554,0.809365943,0.892484238,0.897152821,0.814986459,0.80382242,0.497709125,0.757825,0.760133713,0.837836093,0.839673131,0.750856081,0.769643484
19,0.400212377,0.819310897,0.818304773,0.901435362,0.90587004,0.824126938,0.812564293,0.498957664,0.757775,0.759512522,0.837536495,0.839272996,0.751990563,0.767186481
20,0.38558647,0.828625801,0.827443127,0.909555522,0.914023285,0.834585483,0.820421982,0.500928938,0.75685,0.757842844,0.837019176,0.838637711,0.752633401,0.763124906
