epoch,train_loss,train_acc,train_f1,train_auroc,train_auprc,train_precision,train_recall,val_loss,val_acc,val_f1,val_auroc,val_auprc,val_precision,val_recall
1,0.683440745,0.566449176,0.57374374,0.597762637,0.590959324,0.565227635,0.582520389,0.691064596,0.5229,0.222330888,0.568193245,0.555123925,0.593430498,0.136789851
2,0.618774116,0.664513221,0.67377194,0.718034484,0.693973118,0.656806098,0.691637506,0.684341669,0.550575,0.377764702,0.596604936,0.578070072,0.609856951,0.273629845
3,0.590182662,0.688766312,0.703328628,0.75293969,0.735247546,0.6729261,0.736608291,0.672971904,0.576275,0.445948155,0.636285073,0.617516714,0.640589782,0.342024771
4,0.570617378,0.702888908,0.715833122,0.773735057,0.761769213,0.68697548,0.747221508,0.651904166,0.62645,0.582135466,0.681990269,0.664816615,0.65810939,0.521887379
5,0.555875361,0.710701408,0.721747807,0.787515197,0.780991407,0.696282528,0.74914649,0.62966764,0.65925,0.66345679,0.716338918,0.702304178,0.65354867,0.673669959
6,0.543895781,0.719157795,0.729206763,0.798444681,0.79501166,0.705199536,0.754906162,0.61139828,0.6774,0.700074377,0.741972714,0.732082327,0.652484728,0.755152184
7,0.534215748,0.725389194,0.733507366,0.807150276,0.80575526,0.713484967,0.754685982,0.593042135,0.690075,0.7160884,0.763055355,0.758062574,0.65905067,0.783934213
8,0.523963332,0.732371795,0.739983874,0.815864613,0.816430899,0.72064876,0.760385121,0.576701224,0.699375,0.724569963,0.77834322,0.77571925,0.666933716,0.793110365
9,0.515048921,0.738731971,0.74554234,0.823510815,0.824952783,0.727788434,0.764184093,0.562477648,0.708275,0.731481695,0.790240296,0.789301397,0.675937739,0.796971368
10,0.50706917,0.742938702,0.748883531,0.829756468,0.832543661,0.733138111,0.765320115,0.549643934,0.71595,0.737294798,0.800153804,0.800486652,0.684086326,0.799478514
11,0.498322874,0.75056519,0.755269789,0.837002863,0.839581344,0.742362357,0.768634006,0.537940204,0.7229,0.742148607,0.80891527,0.810047565,0.692227575,0.799829514
12,0.491041183,0.755494505,0.759962916,0.843043836,0.846165457,0.747561144,0.772783111,0.52714175,0.72905,0.746230214,0.816536107,0.818137801,0.699978036,0.799027228
13,0.482364148,0.761260875,0.765847566,0.849602708,0.853121421,0.752623812,0.779544318,0.518176913,0.73625,0.751519148,0.822765588,0.824709481,0.70859427,0.799979943
14,0.474073082,0.76614011,0.769689283,0.855930472,0.859322197,0.759437176,0.780221978,0.510456324,0.74015,0.753462998,0.827901675,0.829997108,0.714903002,0.796419796
15,0.46679005,0.771541609,0.774724693,0.861239991,0.865020408,0.765335563,0.784347056,0.504325211,0.7439,0.755641429,0.831884149,0.83404686,0.720642431,0.794213508
16,0.458150834,0.777951866,0.781020919,0.86758993,0.871710389,0.771597452,0.790677409,0.499142736,0.74655,0.756777506,0.835192739,0.837396448,0.725516353,0.790853934
17,0.449669391,0.78402587,0.786708494,0.873670301,0.877709467,0.778295029,0.795305848,0.494887441,0.7493,0.758046615,0.837936316,0.840107803,0.730549226,0.787694931
18,0.441610396,0.789076809,0.791419637,0.879269411,0.883095476,0.784042165,0.798937264,0.491375327,0.752225,0.75996028,0.840223787,0.842343898,0.734985477,0.786692072
19,0.432224661,0.796088027,0.79811874,0.885712298,0.889498435,0.791403287,0.804949137,0.488427341,0.754025,0.760939816,0.842141998,0.844233916,0.738144621,0.785187785
20,0.423335671,0.802233574,0.804312585,0.891555283,0.895438863,0.797229785,0.811522363,0.486010104,0.756475,0.762732919,0.843737718,0.845794125,0.741616142,0.785087499
21,0.414051116,0.809323489,0.81115819,0.897661988,0.901331893,0.804771746,0.817646807,0.484183848,0.757475,0.763164962,0.844960678,0.84694394,0.743648301,0.783733641
22,0.405547529,0.814932463,0.816695011,0.903065811,0.906687377,0.810378287,0.823110984,0.482886225,0.758425,0.763838991,0.845885548,0.847828411,0.745065319,0.783583212
23,0.397555679,0.820205185,0.821455721,0.907788438,0.911249441,0.817061451,0.825897513,0.482036412,0.759125,0.764142861,0.846528383,0.84843442,0.746508513,0.782630497
24,0.388775647,0.826980311,0.828401947,0.913095819,0.916326288,0.822994502,0.833880921,0.481500924,0.75945,0.764004709,0.847008967,0.848877465,0.747755533,0.780975781
25,0.381005764,0.832582131,0.833592889,0.917598025,0.921025232,0.829880924,0.83733821,0.481360257,0.759825,0.764332148,0.847269209,0.849086899,0.74819902,0.781176353
26,0.373325676,0.837912088,0.838935335,0.921750286,0.924952459,0.834840188,0.843070856,0.481439412,0.7604,0.76465966,0.847427268,0.849199016,0.749242096,0.780725066
27,0.367470056,0.842011504,0.842732718,0.924902617,0.927715955,0.840249375,0.845230782,0.481802583,0.7607,0.764700098,0.847434601,0.849170114,0.750060279,0.77992278
28,0.361878604,0.845259558,0.846235328,0.927886158,0.930759837,0.842444231,0.850060701,0.482301116,0.76055,0.764448379,0.847362658,0.849098107,0.750132728,0.779321065
29,0.356528103,0.848765167,0.849532704,0.930491948,0.933297176,0.846658059,0.852426935,0.482947171,0.7601,0.764110128,0.847245614,0.848939064,0.749481603,0.779321065
