epoch,train_loss,train_acc,train_f1,train_auroc,train_auprc,train_precision,train_recall,val_loss,val_acc,val_f1,val_auroc,val_auprc,val_precision,val_recall
1,0.59664768,0.694704384,0.704158954,0.750591253,0.727896153,0.684157349,0.725365289,0.669903219,0.55585,0.24675655,0.708171472,0.692197549,0.798792204,0.14591586
2,0.534097195,0.736592834,0.743407114,0.80840461,0.792983945,0.72591292,0.761765336,0.598733187,0.692675,0.717538659,0.756338073,0.736992797,0.6622275,0.782931354
3,0.498078853,0.758127289,0.763016963,0.836963583,0.828993384,0.749112231,0.777447647,0.575874746,0.71155,0.739548533,0.784110191,0.765669044,0.672537669,0.821390964
4,0.470459998,0.775311928,0.778412779,0.856795447,0.852911661,0.769036665,0.788020342,0.551799715,0.7282,0.749792875,0.806837426,0.792245516,0.692926113,0.81682796
5,0.44988063,0.785699977,0.788005322,0.870286195,0.869008492,0.78089801,0.795243197,0.523577034,0.74045,0.75881615,0.826623319,0.817364117,0.706921179,0.818933962
6,0.431295574,0.796088027,0.797812269,0.881886557,0.880977378,0.792527553,0.803167938,0.498695076,0.751975,0.767783161,0.842108098,0.837044667,0.719973661,0.822393822
7,0.417788297,0.803392571,0.804809967,0.889868028,0.88970843,0.800268381,0.809403394,0.480221838,0.76065,0.774750612,0.853788107,0.851264417,0.729799211,0.825602968
8,0.404278308,0.811941964,0.812865747,0.897658745,0.898157572,0.81022395,0.815524827,0.464962065,0.769725,0.781941715,0.86307838,0.862094591,0.740649386,0.828110114
9,0.393338829,0.818280678,0.819016132,0.903641798,0.904711113,0.81710646,0.82093475,0.451449275,0.7786,0.788911665,0.871183399,0.871014563,0.751851347,0.829814973
10,0.382433802,0.824097127,0.824890142,0.909407053,0.910992426,0.822564379,0.827229095,0.439216703,0.78635,0.794833629,0.87838131,0.878673854,0.762470637,0.830065687
11,0.370838583,0.830893716,0.831061716,0.915295916,0.917464229,0.831483653,0.830640207,0.428271532,0.7942,0.801303403,0.884735746,0.88535904,0.772513613,0.832322118
12,0.36159566,0.837618761,0.837840348,0.919853906,0.921539408,0.838133764,0.837547137,0.418174207,0.8,0.805947703,0.890416967,0.891255956,0.780576047,0.833024119
13,0.351908207,0.842626774,0.843106068,0.924435946,0.926428469,0.841947064,0.844268267,0.409062147,0.806575,0.811966851,0.895611262,0.896627862,0.787823052,0.837637266
14,0.339818478,0.849974245,0.850072926,0.930020295,0.932049735,0.850961194,0.84918651,0.401402622,0.81305,0.817689795,0.899671228,0.900846174,0.795729537,0.840896555
15,0.329706103,0.85500372,0.854915492,0.934345496,0.936443419,0.856884552,0.852955461,0.395323694,0.816375,0.820270634,0.902788245,0.904085815,0.801041866,0.840445269
16,0.317980915,0.861936241,0.861912531,0.939393968,0.94133149,0.863469534,0.860361133,0.391107261,0.819275,0.822814285,0.904957671,0.906382982,0.804804373,0.841648699
17,0.306113094,0.86873283,0.868527781,0.944144567,0.946173277,0.871312324,0.865760978,0.38829422,0.821225,0.824373112,0.90638539,0.907891183,0.807884856,0.841548413
18,0.293983072,0.875722585,0.875643403,0.948904834,0.950785356,0.877710645,0.873585876,0.386586815,0.8222,0.825120488,0.907420968,0.908981283,0.809553679,0.841297698
19,0.280742437,0.88342777,0.883297522,0.953756437,0.955406172,0.885606365,0.881000686,0.385680616,0.8232,0.825735548,0.908122224,0.909703969,0.811812588,0.840144412
20,0.267908812,0.890081273,0.889934809,0.958231354,0.959733537,0.892594881,0.887290545,0.385840833,0.823425,0.826004484,0.908484962,0.910093135,0.811864407,0.840645841
21,0.255439609,0.897657681,0.897438287,0.962316097,0.963704606,0.900906866,0.893996315,0.38709721,0.823525,0.825965829,0.908560615,0.910143394,0.812445436,0.83994384
22,0.242623135,0.903810382,0.903749096,0.966347604,0.967652096,0.905908693,0.901599771,0.389011741,0.8233,0.825748237,0.908475709,0.910001093,0.812212037,0.839743268
23,0.231308535,0.91025641,0.910169006,0.969697378,0.97091036,0.912508436,0.907841541,0.391431957,0.823,0.825271471,0.908284638,0.909729516,0.81255771,0.83838941
24,0.219696194,0.915686527,0.915613476,0.972886216,0.973930885,0.917933698,0.913304954,0.3943156,0.822525,0.824529748,0.908071656,0.909383129,0.813054499,0.836333551
25,0.209507227,0.92120965,0.921084877,0.975586361,0.976639602,0.924004773,0.918183377,0.397432238,0.82335,0.825150945,0.907786516,0.908854346,0.81454883,0.836032693
26,0.200334102,0.925766941,0.925590201,0.977840683,0.978767334,0.929121615,0.92208553,0.400845706,0.8237,0.825341787,0.907421833,0.908197168,0.815445603,0.835481121
27,0.19167316,0.930266999,0.930086433,0.979857151,0.980721951,0.934019074,0.926186769,0.404690802,0.823675,0.82530404,0.906990662,0.907413398,0.81546745,0.835380835
28,0.184481561,0.934752747,0.934614282,0.981425266,0.982170749,0.938314259,0.930943369,0.409083217,0.823925,0.825473919,0.906401395,0.90640828,0.815990594,0.835180264
29,0.178563774,0.936662946,0.936540819,0.982675606,0.983329676,0.93994331,0.933162872,0.413168013,0.82335,0.824856236,0.905852345,0.905454449,0.815597275,0.834327834
30,0.173382223,0.938866472,0.938775803,0.983706691,0.984385135,0.941589054,0.935979312,0.417214066,0.8225,0.823952393,0.905318438,0.904474582,0.814980134,0.833124405
