epoch,train_loss,train_acc,train_f1,train_auroc,train_auprc,train_precision,train_recall,val_loss,val_acc,val_f1,val_auroc,val_auprc,val_precision,val_recall
1,0.594403327,0.693638393,0.705747348,0.754707917,0.733845153,0.680037079,0.733478068,0.67096293,0.608175,0.470095006,0.695082061,0.677335963,0.721610961,0.348593491
2,0.537474811,0.734410772,0.740462125,0.805273677,0.788415592,0.725225965,0.75635221,0.631338596,0.64515,0.712007467,0.746174608,0.723499373,0.597962035,0.879807451
3,0.503989041,0.754907853,0.759549111,0.832377087,0.821797933,0.746646796,0.77290518,0.6106897,0.6787,0.7333278,0.780371879,0.758413373,0.625499982,0.886075315
4,0.471313804,0.774503491,0.777958591,0.85618132,0.850636757,0.767432487,0.788777464,0.580468297,0.7114,0.752019247,0.805690872,0.786786102,0.657822541,0.877701449
5,0.454510152,0.783346211,0.786446176,0.867229929,0.863159808,0.776615599,0.796528819,0.546354771,0.73125,0.764914276,0.82708078,0.813687208,0.678262556,0.876949306
6,0.436786652,0.794285142,0.796405914,0.878575843,0.876141238,0.789673959,0.803253635,0.513379395,0.746425,0.775004991,0.845658709,0.83746869,0.694924019,0.875946447
7,0.424983203,0.800423535,0.802771493,0.885636485,0.883783116,0.794636359,0.811074919,0.483310997,0.7633,0.786660658,0.861583436,0.856995514,0.714326636,0.87529459
8,0.412895501,0.806640625,0.80819536,0.892763954,0.891821851,0.803060433,0.813396377,0.456775546,0.7789,0.796277527,0.874393362,0.871995499,0.736460863,0.86667001
9,0.402296782,0.813687614,0.814742623,0.898793143,0.898712702,0.811532793,0.817977945,0.438197374,0.79005,0.80359231,0.883912267,0.882502906,0.753013368,0.861455147
10,0.392952412,0.818538233,0.819691477,0.903766878,0.904320918,0.815875127,0.823543696,0.423558146,0.80045,0.810906851,0.891251582,0.890359984,0.768557187,0.858195858
11,0.384384632,0.824011275,0.824547264,0.908460461,0.909347711,0.823273038,0.82582544,0.411934614,0.807375,0.815347377,0.896473297,0.895995007,0.780894234,0.852980996
12,0.37687552,0.828504178,0.829279757,0.9123538,0.913181116,0.826953397,0.831619244,0.403529823,0.81375,0.819996134,0.900128379,0.899878258,0.791280019,0.850874994
13,0.367248058,0.833927141,0.83425797,0.917177569,0.918607394,0.833990007,0.834526105,0.396879256,0.81825,0.823062695,0.902960404,0.902900589,0.799668952,0.847866419
14,0.35518828,0.840902587,0.841358844,0.923071214,0.924465886,0.840375654,0.842344337,0.391887903,0.820875,0.824597909,0.904984728,0.905024813,0.805606046,0.844506845
15,0.345560104,0.845738897,0.845816112,0.927476586,0.929166077,0.846821306,0.844813302,0.388168663,0.8233,0.825919905,0.906409775,0.906523807,0.811607532,0.840746126
16,0.334486127,0.851955987,0.852155896,0.932578677,0.934158927,0.852393408,0.851918517,0.385798484,0.82515,0.82698397,0.907331635,0.907457642,0.81612226,0.838138695
17,0.323126614,0.858466403,0.858467416,0.93743001,0.939074949,0.859863848,0.857075512,0.384491771,0.82655,0.827575923,0.907855392,0.908032484,0.820399113,0.834879406
18,0.310976148,0.865921188,0.865883767,0.942621011,0.944182445,0.867616056,0.864158382,0.384088814,0.825875,0.826408793,0.908107924,0.908302553,0.821555996,0.83131926
19,0.296590418,0.873640682,0.873743656,0.948357978,0.949962678,0.874331168,0.873156932,0.38439393,0.8256,0.825852514,0.908180952,0.908424015,0.822321651,0.829413829
20,0.282123744,0.882340316,0.88225945,0.953778143,0.955082322,0.884323378,0.880205134,0.385448903,0.825175,0.825074418,0.908075156,0.908425871,0.823200559,0.826956827
21,0.267835826,0.889430231,0.889415199,0.958858106,0.960209217,0.891053763,0.88778265,0.387343764,0.824625,0.824277949,0.907751641,0.908111242,0.823555912,0.825001254
22,0.253313333,0.898001087,0.898020786,0.96371333,0.964854535,0.899416847,0.896629053,0.389898002,0.8242,0.823715217,0.907337735,0.907704095,0.823632626,0.823797824
23,0.238510162,0.906006754,0.90595158,0.968366519,0.969424192,0.907927398,0.903984343,0.393124431,0.824425,0.823936424,0.906775403,0.907053211,0.823874461,0.823998395
